id,answer
253/15.jpg,Lê Lợi Thành Phố Kon Tum Kon Tum
253/1.jpg,Thôn Thông Bi Tân Trường Thị Xã Nghi Sơn
253/4.jpg,Xóm 8 Hải Anh Hải Hậu Nam Định
253/7.jpg,Nam Trường Giang Hải Phú Lộc Thừa Thiên Huế
253/24.jpg,4/9cĐg 4 Kp8 Linh Xuân Thành Phố Thủ Đức Hồ Chí Minh
253/20.jpg,Tổ 4a Ấp Chánh Tân Thông Hội Củ Chi Hồ Chí Minh
253/23.jpg,Nghĩa Thái Tân Kỳ Nghệ An
253/14.jpg,Bản Lòng Hồ Tà Lại Mộc Châu Sơn La
253/8.jpg,57/8/86Hoàng Xuân Nhị Phú Trung Tân Phú Hồ Chí Minh
253/22.jpg,Long Điền Tây Đông Hải Bạc Liêu
253/25.jpg,Thới An Ô Môn Tp Cần Thơ
253/2.jpg,77/39/3Dc2 Định Hoà Tp Thủ Dầu Một Bình Dương
253/0.jpg,488a3 Mỹ Tân Phường 3 Thành Phố Bến Tre Bến Tre
253/26.jpg,Thôn Yên Tập Yên Lư Yên Dũng Bắc Giang
253/9.jpg,Tổ 96 Ấp Cái Nưa Bình Minh Vĩnh Thuận Kiên Giang
253/16.jpg,Thôn Hợp Thành Phú Nhuận Lục Ngạn Bắc Giang
253/12.jpg,Phú Thượng Huế Thừa Thiên Huế
253/18.jpg,Ấp Sơn Thuận Mỹ Thuận Hòn Đất Kiên Giang
253/13.jpg,Hồng Giang Lục Ngạn Bắc Giang
253/3.jpg,Gia Tường Nho Quan Ninh Bình
253/19.jpg,Đại Phước Nhơn Trạch Đồng Nai
253/11.jpg,Thôn Như Ngọc Phước Thái Ninh Phước Ninh Thuận
253/5.jpg,52/34 Vĩnh Phú Vĩnh Thành Chợ Lách Bến Tre
253/17.jpg,Gia Đức Thuỷ Nguyên Hải Phòng
253/6.jpg,Thanh Trí Minh Phú Sóc Sơn Hà Nội
253/21.jpg,Đông Phú Lục Nam Bắc Giang
253/10.jpg,Xóm Cầu Giàng Văn Yên Đại Từ Thái Nguyên
168/15.jpg,Sơn Đông Linh Lập Thạch Vĩnh Phúc
168/1.jpg,Trung Lĩnh Nông Cống Thanh Hoá
168/4.jpg,Hoá Vu Kiến Bình Tân Thạnh Long An
168/7.jpg,Tổ 87 Tích Lương Phú Lương Hà Đông Hà Nội
168/24.jpg,Xóm 7 Hải Hải Hải Hậu Nam Định
168/20.jpg,Tổ 1 Ấp 4 Bàu Can Long Thành Đồng Nai
168/23.jpg,Thôn Cải Vân Nham Hữu Lũng Lạng Sơn
168/14.jpg,Tổ 1 Ấp Vĩnh Phố Vĩnh Lộc An Phú An Giang
168/8.jpg,2/8 Lê Văn Hiếu Phường 1 Thành Phố Tân An Long An
168/22.jpg,Thuỷ Dương Hương Thuỷ Thừa Thiên Huế
168/25.jpg,Hoà Đông Hải Hậu Nam Định
168/2.jpg,Hoà Thịnh Tây Hoà Phú Yên
168/0.jpg,Thôn Đình Bồ Sao Vĩnh Tường Vĩnh Phúc
168/26.jpg,963/95/26 Hoàng Bàn Phường 82 Quận 6 Tp Hồ Chí Minh
168/9.jpg,Thôn Tân Hoà Tân Lễ Hưng Hà Thái Bình
168/16.jpg,Sơn Đông Linh Lập Thạch Vĩnh Phúc
168/12.jpg,Nghĩa Khánh Nghĩa Đàn Nghệ An
168/18.jpg,982 Lương Thủ Vinh Tân Thới Hoà Tân Phú Hồ Chí Minh
168/13.jpg,Thôn H Hà Thái Hà Trung Thanh Hoá
168/3.jpg,Yên Ngư Tam Hiệp Thanh Trì Hà Nội
168/19.jpg,Nam Hưng Tiên Lãng Hải Phòng
168/11.jpg,Thôn 6 Hạ Bằng Thạch Thất Hà Nội
168/5.jpg,Thôn An Vinh Vũ An Kiến Xương Thái Bình
168/17.jpg,Tổ 6 Khu Phố 5 Thị Trấn Vĩnh An Vĩnh Cửu Đồng Nai
